probeid	GeneName	poor1_good2	cox.score
DAP1_5052	FSHB	1	4.803037
DAP1_0153	SH3GL2	1	4.210404
DAP1_2390	RBM34	1	4.189169
DAP3_3833	BRRN1	1	4.020467
DAP1_0623	EGF	1	3.974091
DAP1_5926	TRIO	1	3.900191
DAP3_3842	COL6A3	1	3.869035
DAP1_0171	ABLIM1	1	3.855871
DAP3_0607	ITGA9	1	3.811202
DAP4_5449	NTS	1	3.781121
DAP3_1324	SERPINB2	1	3.689833
DAP3_1228	MMP7	1	3.586253
DAP3_4010	PRKG2	1	3.439739
DAP4_1888	EDG4	1	3.397298
DAP3_0208	NOS2A	1	3.333578
DAP1_4004	EPHA4	1	3.249857
DAP4_2216	SP100	1	3.190866
DAP2_0010	FMO1	1	3.043818
DAP3_2729	GPX2	1	3.018073
DAP3_5508	ATP4B	1	2.990482
DAP1_5176	IER3	1	2.982228
DAP4_5988	WASPIP	1	2.979028
DAP1_3877	IGFBP6	1	2.93015
DAP1_0897	CTNND2	1	2.917634
DAP3_5371	FBN1	1	2.907478
DAP4_5022	GBA	1	2.853233
DAP1_4874	ICK	1	2.847788
DAP1_3085	CHERP	1	2.809091
DAP3_3881	HDAC9	1	2.806411
DAP3_1658	NOL7	1	2.797303
DAP3_0609	IQGAP1	1	2.789
DAP3_3158	ADD3	1	2.787331
DAP3_3933	ANXA3	1	2.78021
DAP2_5915	HMG20B	1	2.763748
DAP1_0174	SLC12A2	1	2.754339
DAP2_3448	COL4A1	1	2.750907
DAP4_3126	CPA3	1	2.742768
DAP3_1093	KRT7	1	2.738628
DAP1_1741	SERPINB8	1	2.69444
DAP3_1042	NFKB2	1	2.673796
DAP3_5816	AEBP1	1	2.672112
DAP3_3879	TGFB1I1	1	2.659373
DAP1_0509	EMP2	1	2.633043
DAP2_3497	BCL2	1	2.629595
DAP3_2152	PSMB9	1	2.593086
DAP3_6062	ACTR2	1	2.592091
DAP1_6137	DDR1	1	2.581361
DAP2_3913	SLC7A1	1	2.563869
DAP4_2003	PODXL	1	2.559453
DAP1_5750	COL16A1	1	2.554632
DAP1_3284	IFI30	1	2.552932
DAP3_1596	EPM2AIP1	1	2.545649
DAP3_1678	ANXA1	1	2.530262
DAP3_4123	CCL21	1	2.468426
DAP3_1610	CHSY1	1	2.453525
DAP1_4020	AP1B1	1	2.445027
DAP4_2797	TEAD4	1	2.392456
DAP4_2406	ELOVL2	1	2.390904
DAP1_0054	TCF4	1	2.382632
DAP3_1020	TSC22D2	1	2.382304
DAP4_2418	DUSP5	1	2.357583
DAP3_5242	CCDC6	1	2.356412
DAP3_0973	CD48	1	2.349027
DAP1_0901	TNK2	1	2.34853
DAP3_1032	DAB2	1	2.345265
DAP2_3941	LOXL2	1	2.341989
DAP3_2205	RNASE1	1	2.335486
DAP4_2160	LPP	1	2.327865
DAP3_0038	CXCR4	1	2.325917
DAP3_1608	SLIT3	1	2.305462
DAP3_0744	DOC1	1	2.254606
DAP4_5839	CCL19	1	2.231646
DAP3_5744	AKAP13	1	2.226529
DAP3_5700	HRASLS3	2	-2.125148
DAP4_3027	POLRMT	2	-2.142571
DAP3_2137	INSM1	2	-2.179004
DAP2_1935	PLCB3	2	-2.198434
DAP2_4148	CPN1	2	-2.199183
DAP3_0889	ATP5D	2	-2.22158
DAP4_3503	ZAP128	2	-2.223237
DAP3_1562	ARF4	2	-2.229218
DAP4_3279	ZNF185	2	-2.257499
DAP2_5898	CYP2B6	2	-2.259749
DAP3_5468	GGCX	2	-2.273251
DAP4_0984	HMGCR	2	-2.282206
DAP1_5546	SFRS2	2	-2.284968
DAP3_3049	CUTL2	2	-2.288006
DAP3_3783	CREB1	2	-2.297827
DAP3_2198	GCKR	2	-2.297919
DAP2_6140	PON3	2	-2.302512
DAP1_1550	SSFA2	2	-2.303385
DAP4_2296	BAIAP2	2	-2.305644
DAP4_0979	C1orf24	2	-2.310399
DAP4_0949	RAD52	2	-2.31711
DAP3_6123	C5	2	-2.323914
DAP3_3988	USP14	2	-2.341072
DAP2_3569	SLC4A4	2	-2.34481
DAP3_5076	MSH6	2	-2.355421
DAP4_6012	ADH6	2	-2.357427
DAP3_2882	C9orf60	2	-2.372246
DAP4_3066	AOX1	2	-2.373319
DAP4_5379	SELENBP1	2	-2.376318
DAP3_5067	TM7SF2	2	-2.390664
DAP4_4304	GJB1	2	-2.394839
DAP3_1753	PCYT2	2	-2.396272
DAP3_5959	KCNJ3	2	-2.398139
DAP2_4928	PLCG2	2	-2.410274
DAP3_1623	ASAHL	2	-2.412982
DAP4_0140	PTPN18	2	-2.417059
DAP1_5123	SREBF2	2	-2.423224
DAP4_3363	GSTM1	2	-2.428475
DAP1_5842	TDO2	2	-2.431717
DAP3_5257	PMM1	2	-2.437945
DAP1_3440	SNX10	2	-2.440605
DAP4_3810	SCIRP10	2	-2.441074
DAP4_3111	RRM1	2	-2.443072
DAP3_4223	DLGAP4	2	-2.44675
DAP4_5050	CALCR	2	-2.447634
DAP1_1085	EMD	2	-2.473093
DAP4_3497	AKR1A1	2	-2.475209
DAP1_5518	ATP2C1	2	-2.484155
DAP1_5672	DST	2	-2.491915
DAP2_5268	FLJ23441	2	-2.493973
DAP4_1861	HSPE1	2	-2.496595
DAP1_5381	GRK4	2	-2.497616
DAP1_0656	BRP44	2	-2.49897
DAP1_5069	CCT8	2	-2.510839
DAP3_1312	GCGR	2	-2.513701
DAP4_5013	VPS41	2	-2.514764
DAP4_3697	ALAS1	2	-2.529155
DAP3_3022	SLC37A4	2	-2.532667
DAP3_1761	CTBS	2	-2.539379
DAP3_2994	ART1	2	-2.539525
DAP2_2062	LOC157567	2	-2.539815
DAP1_2179	F9	2	-2.542232
DAP3_2354	ERCC5	2	-2.544177
DAP3_1646	SDHC	2	-2.547228
DAP4_5452	GRM5	2	-2.563769
DAP4_0010	RFC2	2	-2.577281
DAP4_5653	WDR23	2	-2.586849
DAP4_5383	PIGK	2	-2.599275
DAP1_0559	LIPC	2	-2.603679
DAP1_0147	EIF2B1	2	-2.613263
DAP4_5846	TRAF6	2	-2.61569
DAP3_4919	C4BPB	2	-2.624149
DAP3_5291	HMGCL	2	-2.64759
DAP4_0781	TIMM8A	2	-2.6476
DAP1_2989	DAD1	2	-2.651914
DAP4_5591	ZBTB17	2	-2.652175
DAP4_4262	PROS1	2	-2.656703
DAP4_2906	DOCK4	2	-2.657201
DAP4_3262	ATP6AP2	2	-2.66557
DAP1_2114	PACAP	2	-2.666289
DAP4_1895	C8B	2	-2.694771
DAP3_5846	AARS	2	-2.696502
DAP3_1407	ADH5	2	-2.750839
DAP2_1588	AKR1D1	2	-2.756859
DAP4_1564	PCK1	2	-2.764819
DAP3_3625	GHR	2	-2.770404
DAP4_0915	HABP2	2	-2.805565
DAP4_5179	XPA	2	-2.819387
DAP4_2356	CPOX	2	-2.819587
DAP4_1959	TAF1C	2	-2.82103
DAP2_6048	C9	2	-2.826408
DAP3_5885	HAAO	2	-2.833411
DAP1_1983	SUCLG1	2	-2.837122
DAP3_5880	IGF1	2	-2.839711
DAP4_3933	AR	2	-2.844582
DAP3_2733	SC5DL	2	-2.869816
DAP2_1608	PLG	2	-2.884352
DAP1_1650	TXN2	2	-2.899932
DAP4_3541	SGNE1	2	-2.928393
DAP1_0453	CYB5	2	-2.961646
DAP3_2434	RPS6KA5	2	-3.000442
DAP2_4247	PKLR	2	-3.006717
DAP3_0210	MAC30	2	-3.059851
DAP3_2216	PPP1R1A	2	-3.069335
DAP3_1558	PSMB3	2	-3.09183
DAP1_3979	PTPN2	2	-3.120807
DAP4_2813	ADRA2B	2	-3.188092
DAP3_1951	SAH	2	-3.208213
DAP3_2208	PFKFB1	2	-3.216276
DAP4_3479	IMPA1	2	-3.219279
DAP1_5588	RLF	2	-3.226967
DAP4_0296	TTR	2	-3.269501
DAP3_4190	ALDH9A1	2	-3.341275
